# Optical absorption spectrum of Chlorophyll a in diethyl ether
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by J. Li on 12-11-1997 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 111700 cm-1/M at 427.8 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Strain, H. H., M. R. Thomas and J. J. Katz (1963) Spectral absorption properties of ordinary and fully deuteriated chlorophylls a and b.  Biochim. Biophys. Acta 75, 306-311.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
392.31	46215
392.5	46315
392.68	46134
392.87	46933
393.06	47097
393.25	47363
393.43	47844
393.62	47967
393.81	48602
394	49095
394.18	49604
394.37	49803
394.56	49724
394.75	50814
394.93	51085
395.12	52038
395.31	51893
395.5	52341
395.68	53108
395.87	53393
396.06	54082
396.25	54308
396.43	54927
396.62	55176
396.81	55802
397	56238
397.18	56823
397.37	56990
397.56	58066
397.75	58406
397.93	58388
398.12	58918
398.31	59217
398.5	59744
398.68	60399
398.87	61042
399.06	61238
399.25	61796
399.43	62266
399.62	62472
399.81	63035
400	63104
400.18	63352
400.37	63578
400.56	63857
400.75	64257
400.93	65114
401.12	65582
401.31	65393
401.5	65432
401.68	66079
401.87	66354
402.06	66376
402.25	66863
402.43	67077
402.62	67180
402.81	67858
403	67757
403.18	67565
403.37	68592
403.56	68469
403.75	68607
403.93	68874
404.12	68986
404.31	68906
404.5	69315
404.68	69420
404.87	69345
405.06	69676
405.25	69821
405.43	69754
405.62	70280
405.81	70440
406	70351
406.18	70815
406.37	70787
406.56	70660
406.75	70503
406.93	70837
407.12	70733
407.31	70613
407.5	70856
407.68	70833
407.87	71350
408.06	70898
408.25	71259
408.43	70967
408.62	70772
408.81	71083
409	71114
409.18	70714
409.37	70872
409.56	71321
409.75	71339
409.93	71054
410.12	71091
410.31	71199
410.5	71000
410.68	71017
410.87	71157
411.06	70920
411.25	70735
411.43	70792
411.62	70673
411.81	70819
412	70974
412.18	70306
412.37	70432
412.56	70144
412.75	70786
412.93	70777
413.12	70671
413.31	70312
413.5	70327
413.68	70901
413.87	70530
414.06	70533
414.25	70223
414.43	70803
414.62	70429
414.81	70739
415	71187
415.18	70982
415.37	71133
415.56	71812
415.75	71782
415.93	71928
416.12	72064
416.31	72203
416.5	72720
416.68	72929
416.87	73401
417.06	73259
417.25	74298
417.43	74390
417.62	74839
417.81	75384
418	76353
418.18	76578
418.37	77315
418.56	77820
418.75	78390
418.93	78279
419.12	80063
419.31	80650
419.5	80651
419.68	81834
419.87	82538
420.06	83453
420.25	84067
420.43	84806
420.62	85854
420.81	86809
421	86906
421.18	88233
421.37	89065
421.56	90143
421.75	91306
421.93	92206
422.12	93099
422.31	93543
422.5	94553
422.68	95695
422.87	96364
423.06	97786
423.25	98301
423.43	98874
423.62	100239
423.81	100940
424	101776
424.18	102493
424.37	103005
424.56	103880
424.75	104953
424.93	105309
425.12	106338
425.31	106528
425.5	107298
425.68	107924
425.87	108334
426.06	108536
426.25	109430
426.43	109451
426.62	109998
426.81	109981
427	110782
427.18	110623
427.37	111346
427.56	110979
427.75	111700
427.93	111226
428.12	111059
428.31	111274
428.5	111011
428.68	111328
428.87	110789
429.06	110035
429.25	110102
429.43	109429
429.62	109384
429.81	108475
430	108185
430.18	106938
430.37	105938
430.56	105580
430.75	104484
430.93	102772
431.12	102254
431.31	100890
431.5	99914
431.68	98296
431.87	97416
432.06	95303
432.25	94555
432.43	92113
